county	unemploymentRate	state	year	countyCode
"Rockingham County, NC"	6.6	North Carolina	2015	37157
"Christian County, KY"	6.4	Kentucky	2015	21047
"Sherman County, OR"	6.1	Oregon	2015	41055
"Greene County, AR"	5.2	Arkansas	2015	5055
"Faribault County, MN"	4.4	Minnesota	2015	27043
"Clark County, ID"	3.8	Idaho	2015	16033
"Galveston County, TX"	5	Texas	2015	48167
"Morehouse Parish, LA"	11	Louisiana	2015	22067
"Pamlico County, NC"	6	North Carolina	2015	37137
"Dewey County, OK"	3.6	Oklahoma	2015	40043
"Vilas County, WI"	7	Wisconsin	2015	55125
"Cass County, MI"	5	Michigan	2015	26027
"Fairfield County, CT"	5.4	Connecticut	2015	9001
"Plumas County, CA"	10.2	California	2015	6063
"Leslie County, KY"	10.9	Kentucky	2015	21131
"Tyler County, WV"	9.4	West Virginia	2015	54095
"Matanuska-Susitna Borough, AK"	7.6	Alaska	2015	2170
"Imperial County, CA"	24	California	2015	6025
"Williams County, OH"	4.4	Ohio	2015	39171
"Addison County, VT"	3.6	Vermont	2015	50001
"Wayne County, IL"	6.8	Illinois	2015	17191
"Buena Vista City, VA"	5.1	Virginia	2015	unavailable
"Fairfax County, VA"	3.6	Virginia	2015	51059
"Fredericksburg City, VA"	5.3	Virginia	2015	unavailable
"Wyoming County, NY"	5.6	New York	2015	36121
"Stone County, AR"	6.3	Arkansas	2015	5137
"Carroll County, MO"	6	Missouri	2015	29033
"Union County, SD"	3.4	South Dakota	2015	46127
"Marquette County, WI"	6.1	Wisconsin	2015	55077
"Henry County, IA"	4	Iowa	2015	19087
"Stephens County, OK"	6	Oklahoma	2015	40137
"Middlesex County, NJ"	5.2	New Jersey	2015	34023
"Patrick County, VA"	5.4	Virginia	2015	51141
"Anderson County, TN"	5.8	Tennessee	2015	47001
"Hardin County, IA"	4	Iowa	2015	19083
"Peoria County, IL"	6.8	Illinois	2015	17143
"Aroostook County, ME"	6	Maine	2015	23003
"Lafourche Parish, LA"	5.4	Louisiana	2015	22057
"Greene County, OH"	4.4	Ohio	2015	39057
"Wells County, ND"	4	North Dakota	2015	38103
"Marion County, SC"	10	South Carolina	2015	45067
"Atoka County, OK"	6.5	Oklahoma	2015	40005
"Coahoma County, MS"	10	Mississippi	2015	28027
"Centre County, PA"	4	Pennsylvania	2015	42027
"Navajo County, AZ"	9.6	Arizona	2015	4017
"Hancock County, GA"	9.8	Georgia	2015	13141
"Clinton County, IA"	5.1	Iowa	2015	19045
"Polk County, OR"	5.6	Oregon	2015	41053
"Bartow County, GA"	5.9	Georgia	2015	13015
"Pottawatomie County, OK"	4.5	Oklahoma	2015	40125
"Oneida County, WI"	5.8	Wisconsin	2015	55085
"Gaines County, TX"	3.2	Texas	2015	48165
"Angelina County, TX"	5.6	Texas	2015	48005
"Washington County, IA"	3.2	Iowa	2015	19183
"Jefferson County, ID"	3.4	Idaho	2015	16051
"Calhoun County, GA"	6.2	Georgia	2015	13037
"Cole County, MO"	4	Missouri	2015	29051
"Clear Creek County, CO"	3.7	Colorado	2015	8019
"Pratt County, KS"	4.1	Kansas	2015	20151
"Logan County, ND"	2.8	North Dakota	2015	38047
"Osage County, MO"	3.7	Missouri	2015	29151
"Whatcom County, WA"	6	Washington	2015	53073
"Kleberg County, TX"	5.9	Texas	2015	48273
"Boone County, MO"	3.5	Missouri	2015	29019
"Grayson County, KY"	6.6	Kentucky	2015	21085
"Fremont County, ID"	3.7	Idaho	2015	16043
"King County, TX"	3.5	Texas	2015	48269
"Jackson County, WV"	7.2	West Virginia	2015	54035
"Dearborn County, IN"	5.1	Indiana	2015	18029
"Bradford County, FL"	4.8	Florida	2015	12007
"Clarion County, PA"	6	Pennsylvania	2015	42031
"Saint Louis County, MN"	5	Minnesota	2015	unavailable
"Queen Annes County, MD"	4.5	Maryland	2015	unavailable
"O'Brien County, IA"	2.9	Iowa	2015	19141
"Lake County, SD"	3.6	South Dakota	2015	46079
"Lamar County, AL"	6.3	Alabama	2015	1075
"Finney County, KS"	3.5	Kansas	2015	20055
"Douglas County, SD"	2.4	South Dakota	2015	46043
"Knox County, KY"	8.2	Kentucky	2015	21121
"Pickett County, TN"	7.6	Tennessee	2015	47137
"King County, WA"	4.3	Washington	2015	53033
"Essex County, NJ"	6.9	New Jersey	2015	34013
"Baltimore County, MD"	5.3	Maryland	2015	24005
"Todd County, KY"	4.7	Kentucky	2015	21219
"Menominee County, WI"	9.7	Wisconsin	2015	55078
"Kendall County, TX"	3.3	Texas	2015	48259
"La Salle County, IL"	6.9	Illinois	2015	unavailable
"Pierce County, WA"	6.5	Washington	2015	53053
"Custer County, ID"	6.7	Idaho	2015	16037
"Jack County, TX"	4.2	Texas	2015	48237
"Stanley County, SD"	2.4	South Dakota	2015	46117
"Osceola County, IA"	2.9	Iowa	2015	19143
"Carter County, MT"	3.2	Montana	2015	30011
"Mason County, MI"	6.1	Michigan	2015	26105
"Lowndes County, MS"	7	Mississippi	2015	28087
"Monroe County, TN"	6.3	Tennessee	2015	47123
"Iron County, MI"	7	Michigan	2015	26071
"Jefferson County, TN"	6.4	Tennessee	2015	47089
"Darke County, OH"	4.3	Ohio	2015	39037
"Bullock County, AL"	7.9	Alabama	2015	1011
"Robeson County, NC"	8.5	North Carolina	2015	37155
"Coweta County, GA"	5.3	Georgia	2015	13077
"Williamsburg City, VA"	6.3	Virginia	2015	unavailable
"Cimarron County, OK"	2.2	Oklahoma	2015	40025
"San Juan County, WA"	4.9	Washington	2015	53055
"Clinton County, MO"	4.8	Missouri	2015	29049
"Maui County, HI"	3.7	Hawaii	2015	15009
"Halifax County, NC"	8.8	North Carolina	2015	37083
"Riverside County, CA"	6.7	California	2015	6065
"Thayer County, NE"	2.4	Nebraska	2015	31169
"Saguache County, CO"	6.2	Colorado	2015	8109
"Hancock County, WV"	7.8	West Virginia	2015	54029
"Orange County, TX"	6.5	Texas	2015	48361
"Baker County, FL"	5.5	Florida	2015	12003
"Edwards County, IL"	5.9	Illinois	2015	17047
"Marion County, TX"	6.5	Texas	2015	48315
"Nelson County, KY"	5	Kentucky	2015	21179
"Glascock County, GA"	6.7	Georgia	2015	13125
"Dickson County, TN"	5.4	Tennessee	2015	47043
"Brantley County, GA"	7.4	Georgia	2015	13025
"Osceola County, MI"	6.5	Michigan	2015	26133
"Pitkin County, CO"	3.9	Colorado	2015	8097
